sentiment,text
positive,Great product
negative,"The color was missing in some of the parts, my truck was shaking to bad I had to take them off!"
positive,"The other reviewer pretty munched summed it up. Just installed tonight. It's for my wife's cbr300r, so we will see if it makes any difference. Don't like how ita a different material than the stock seat, and how the mounting tabs dont have any rubber. Also the front of the seat is wider than stock, the tapering inward is gone, which makes it more difficult for shorter riders. For the price was hoping for something better but if it helps her get closer to the ground then it's a win.  If I had to do it over would probably try to find a cheap used seat and use a thin gel cushion and reupholster."
positive,"this fit my motorcycle perfect,it is a very good product,i would by this again.it seems to be made very good"
positive,good fit
positive,"A little tight but it keeps the cold wind off my face, it works for me."
positive,serves the purpose.
positive,"Rejoice BMW drivers, yes these come in a set even though one is pictured, and they work great for my e39 and you won't find them cheaper anywhere else."
positive,works well.
positive,Great products
positive,damaged it myself a little already. But i picked it up because I really needed to clean my rims. and this aided so much in that job. Very Satisfied.
positive,Easy install.  Better then old plastic ones.
positive,It worked and wasn't hard to install.  What more can I say?
positive,Literally just buy this one. I bought the official ‘Grunge Brush’ and it broke after one use... cost me 30 bucks and lasted one wash. Buy this two pack and give one to a buddy.
positive,This is a very nice selection of clamps. I tried out quite a few of them and they tighten smooth.  It’s a great selection for using in a lot of household situations such as garden equipment and lawnmower engines that have rubber hoses. The storage case is also a good container and snaps shut easily.  Very happy with these!
positive,works in the map light for a 2017 Ram 2500 thank goodness
positive,Please make this product for commercial vehicles
positive,The old ones had the wing nut so you either had to tighten them with your finger and hope they stay closed or figure out a way to get to them with pliers.... these have a 9/16 hex so you just spin it down and use an open end 9/16 to snug it... the same tool you use for the drain plug on the back of the boat
positive,"This worked great on our van, covered the steering wheel nice, I would recomend putting a bit of some sort of adhesive under the gap for the wheel stem.  Our wheel had 2 stems rather than 3 and they are quite thick.  The cover gaps a bit in this area.  The cover overlaps just a tad so the two needle method didn't work out.  I did do a great job with a one needle method.  I had tons of leftover and if doing again, would just use double thread.  The kit was truly all inclusive and although it took me a couple of hours to lace it (I wanted it to look professional), it came out great and should last for years."
negative,Disappointed as I had heard good things about this product.
positive,"This product actually had the WoW factor. Construction seems very solid, main cable is large gauge, this far have not noticed any  part heating up due to use. Manual is clearly written. It comes with a mounting bracket with 3M pads which I did not realize at time of purchase, but was a nice surprise. I will recommend this product if you need extra power ports in your vehicle."
negative,"The connection piece on the motor itself is poorly made. The motor wouldn't work because of a manufacturer flaw. The electrical connector wasn't making contact to the motor body. When unplugging the wire from the harness to check it with a voltmeter, the flimsy piece completely broke off. Back to square one."
positive,I was skeptical but I purchased it anyway and I am happy I did. It looks really nice in my car and its not slippery. The real test will be in the summer to see if it stays cool.
positive,"Perfect for for my 2017 Kia Sportage, great price."
negative,"I liked the bright colors they disk cup holder lights had but wasn't pleased with the short charge time they held, always charging & they came from China."
negative,"Here's the thing with these.<br />They are perfect size and good looking, HOWEVER, I DO NOT recommend putting them on your actual laptop unless you plan on keeping the sticker there forever.<br />I have a macbook pro and I put one of these stickers on the area left of the track pad and after about 5 months the black is now faded and just looking worn (which is normal! my hand is always on it so I expected it to fade easily) but as I carefully started to peel it off the sticky back had actually detached itself from the sticker itself and just stuck to my computer. It was impossible to get off even with Goo-gone because you have to be delicate with the laptop. I suggest putting these stickers where you either want them on for a very long time, or someplace you dont care !"
positive,Hubs were an excellent buy. I would buy them again in a heartbeat
positive,Very nice fit for my 2017 BMW X3
positive,Work perfectly.
positive,Use as Fog lights for my 2007 Acura MDX and they work great and match the headlights pretty well.
positive,Makes a world of difference at night
positive,"Wrapped up like a deuce, into the middle of the night.....  Ya, you sang it, I know ya did. Great light, there are some exactly like it cheaper, so if quality is the same maybe try those. Works well, brighter than most people these days, and the magnets hold on very well, even at 80mph."
positive,shipped fast and product was as described. I would buy this again.
positive,"I chose these for our motorhome after seeing some priced 3 times as much and others lower or close to this price but not made of material I wanted. This are made from a heavier material than I expected, the inside has a soft lining, there is a flap with Velcro tabs to secure them to the mirror posts and it includes a storage bag.<br /><br />Great product and great value."
positive,Everything needed to change the oil and filter in my Yamaha 90HP outboard.  Quick delivery as well
positive,"This cover does a nice job of keeping leaves and other crap out of the air vent, plus it looks cool. and adds some black to the Jeep. I'd buy this again, in fact I already have."
positive,fit very well on my civic lx 2016
positive,Very nice quality magnet with a very important reminder to give thanks and honor our brave men and women who gave their lives so we can enjoy our free lives to the max.  THANK YOU!  I have never seen this in a store and am proud to own.  Plus...it stays on at a car wash so that is a plus.
positive,"This emergency kit comes with all the basics - jumper cables, ropes, flags, tools, first aid supplies, an ice scraper, and so forth.  What strikes me about it is that unlike a lot of other &#34;kit&#34; style bundle purchases, there are no poorly made products in here.  The flags are laminated, the scraper is high quality, the gloves have grips on the palms and fingers, the cords on the jumper cables are thick, yet supple.  This is a very nice kit to purchase for yourself or as a gift."
negative,This item did not live up to expectations. It fails to keep food cold and reacts badly to humid conditions. I’m sure that in cooler weather it will probably be a bit better on cooling but not in summer temps. A regular cooler works more efficiently with ice than this cooler does being plugged in. It is also not as efficient as a regular cooler when not plugged in and simply using ice inside.
positive,Great accessory.
positive,I have worked and worked trying to get water spots off my house windows and have never found anything that worked.  I talked to a Firefighter who told me about Chemical Guys Heavy Duty Water Spot Remover.  The second I pot it on the glass the spots disappeared.  Great product that works.
positive,"This stuff is amazing. I use it on my Tesla S and it leaves it shiny and new every time. And if it rains, the water just beads up and runs off. Highly recommend."
negative,RV sewer hose.  It's not &#34;top of the line&#34; but for the price it will do the job.  Got for a premanent location and is cheaper than 3&#34; pvc pipe.
negative,Didn’t soften leather like I was hoping. I have a really thick leather purse made by hand. It’s top grain leather not the thin in between leathers. It didn’t soften it at all. It smells good and probably works well on thinner grains of leather. It seems to clean it some so I’ll keep it for that. I’ve never been good at returning unless I get something previously used.
positive,works good
positive,Good
positive,"Perfect for my center brake light in my Toyota Echo.  They had told me that the entire back dash had to be pulled out to replace that one light and labor alone on that would be 250 bucks, so I'd left it burnt out for years and didn't even bother checking into it, since it wasn't necessary to pass inspection.  It wasn't until the DPS examiner wouldn't let my son take his driving test in it because it didn't light up that I looked around and thanks to a YT video I found out they were trying to swindle me.  It was a (maybe) five minute replacement.  Awesome!<br /><br />Plus two here are the still a little cheaper than one at the auto parts store downtown."
positive,Needed two cans to do 6 pillars and various trim pieces. Perfect match for my Dodge interior.
negative,I bought these to replace ones that wore out. These will not stay open and the top is Quite light weight. I can lift the top and hold it open with 1 finger. SO these don't work.
positive,looking gooooood!!!
negative,After tighten them they still move slightly and I have to keep adjusting them.
positive,"Still use this brush, great for tight areas"
negative,Tying down with straps?  Has to be a better way
positive,Took a minute to get folding down but does cover whole windshield and keeps it cooler
negative,"Works, but two problems.<br />1  Poorly written manual.  For example nowhere does it tell you that when the &#34;Charging&#34; LED is flashing, it is NOT charging.  The LED must be steady for it to be charging.  I left it for two hours charging a low battery (3.8V).  The Charging light was flashing and it indicated 15% and Voltage 16.8v!!! After two hours nothing had changed. I am lucky that it was not charging or the battery would have been damaged.  Not being an expert, I did NOT know that with this particular model car, the battery needs to be disconnected from the car when charging.  When I disconnected the batter and applied the charger, it worked fine, Voltage went down to 13 and it went into trickle mode when the battery was charged overnight.<br />MORE CARE SHOULD BE GIVEN TO THE INSTRUCTION MANUAL.<br />2  The LED's are SO bright they blind you and you can not read the captions in a Garage lighting environment.  You have to cover the LED with your finger and/or use a flashlight to read the type of battery, amps etc.  Minor problem unless you use the device often and know by heart what each LED indicates."
positive,buy it!!
negative,Meh. Not that good. I can only smell it when i walk past it closely. Not very effective product.
positive,"Used these on my bravo 3 after noticing one had come missing, sooner or later will probably loose another one"
negative,"I've had to open up the trunk 3 more times since installing this after the handle continues to fail to work. It's just not the same shape as the old one, so the cable length isn't a perfect match and the lock gets jammed."
positive,"Put these on a 1997 honda foreman 400, twice the brightness."
positive,Perfect fit
positive,Sun shield worked perfectly in my 2009 Subaru Outback
positive,Value
positive,"Not easy to snap together. Then after much frustration, I lined up the 2 pieces one more time and then i squeezed the heck out of it (like I was going to break it) and to my amazement it popped together perfectly. Good product, just a little frustrating during assembly."
positive,It was very difficult to install for me to install but I had some do it for me and it feels great.Thank you so much
positive,"The shade is easy to install and works well. It is a little flimsy, so we will see how it survives the next AZ summer. Great value though."
negative,"Way too small for hood prop rod retention on my '99 Jeep Wrangler TJ. The square hole in my hood is about 1/2"" and this is plastic clip is about 3/8"". Apparently a common variable off the Jeep assembly line. Seller quickly refunded."
positive,"Todo bien, buen producto lo recomiendo!"
positive,Doesn't hold up to 10% ethanol or oxygenated fuel well but regular race fuel is fine.
positive,"This worked great with our 2010 Honda Ridgeline, and has allowed us to pull a light trailer when needed.  Easy to install and worked with no issues."
positive,Great quality for ceramic brakes. Fit great
positive,Little goes a long way. Keeps everything quiet and functioning. Handy brush to apply!
positive,I would buy again
positive,Got rid of the obd2 code & worked great once I learned how to adjust it off you tube.
positive,Works great.
negative,"Poor quality! Arrived broken , very disappointed!!"
negative,"Looked good and in theory would have made checking/filling easier...caused a flat, not being used now"
positive,Works well for garage door.
positive,Perfecto
negative,"Lasted one winter on a mower, clips and wires are frail and it just stopped one day."
positive,I live in Florida so it’s a must have easy to install and take down
positive,its not dirty...its purple...and thats a good thing
negative,Missing new fuel line clips and o-rings. Had to salvage and use old ones.
positive,These last about 2 years before they begin to fade.  This one is a replacement.  Worth it for the price.
positive,"Wow so comfortable ,I am going to order another one"
positive,Very nice design and materials.
positive,Keeps the dirt and grime out of the locking handles
positive,"working fine after 18 months, was easy swap out"
negative,"looks great, as picture.<br />Took old key,  took batteries (2) out and put the electronics in the new key and inserted the batteries.<br />snapped well together and I was hopeful.<br />The LED on the key comes on when you press unlock but nothing happens.<br />When putting the key in the ignition a message appears &#34;KEY DOES NOT BELONG TO CAR&#34;<br />Not worth the time and effort.<br />pity."
positive,Nice suede/nubuck cleaner kit. Made my old boots look a lot better.
positive,This is a nice little cover to keep the hitch plug from getting rusty. Does the job!
positive,"Got a good deal with Amazon for this air filter. This fits our 2008 Toyota Corolla. No more buying disposable air filters every 10000-15000 miles. I haven't tried cleaning it yet but for the price, definitely a good purchase. Regarding improvement to mileage or power, I honestly don't see any difference compared to other filters."
positive,Large but effective and very usable
positive,"It's a porous texture and i have trouble keeping it white, especially on the back piece.  And im always having to tighten the bolts up.  But it does do the job and it is very light weight.  I love the space it saves with no tank.  Overall I'd buy again."
negative,"Definitely not worth almost 50 bucks, the rubber around the mirror is a little loose, i expect them to fall off eventually. But at least now I'm street legal with my doors off"
positive,"initially sits the 99 cherokee sport about an inch and a half higher than stock, but after about 4 months of use they have settled in at a level ride height. it's been about 4 months since then, so i'm pretty confident they are staying put at this height."
positive,It and saves a lot of hassle scraping the ice and snow off.
positive,Like it says above. Getting to it was kind of a pain in the butt.
positive,"I put this on the back of my black Ford F-150. I like the black on black on black of my truck and didn't want to take way from that with anything too bright. This is more chrome that I expected, and less black, but it looks good and isn't too bright. It's still subtle.<br />The adhesion is suspect, but I hope that it will stick more the longer it's in the sun. We'll see. It did go on easy."
positive,Just what we needed
positive,"Shipping took longer than expected, but once arrived, I love it. Works great for my son, was easy to apply and is staying on even after cleaning toilet. Would buy again"
negative,"These did not fit like the other youth goggles.  Much too small of a face opening  Loved the color though, just wish they fit like the other Fox youth goggles."
negative,"Way to loose! Fell off within 2 days, maybe same day of install. Rubber way to flimsy, won’t stay in! Complete waste of money!"
positive,"The only negative is all the holes. I double sided taped them on (I bought 2), so didn't need the mounting holes - BTW they came with nice looking SS hardware. There are access ports on each end and I ran wire out the back (hidden). They provide one rubber plug, but should give you 2 per light. I haven't done it yet, but will seal with black Sikaflex411. Very nice lights. Rugged look."
positive,"Great for the price, love the screw caps that match the black plate. Plates are metal, not plastic. Overall, a win. Very reasonable."
positive,This is a well constructed car cover and fits perfectly.
negative,Does not fit
positive,Works great.  No problems.
negative,"Good towels but more lint then a new full size towel! Good for absorbing but you need a finishing cloth.<br />*Update , no better than Costco towels that cost the same but you get 24 ."
positive,"love it, its the best, get it!"
positive,GREAT PRODUCT
positive,Great product
positive,This is a great replacement for a damaged running board.  My husband replaced them but not as easy as it says.  If you are installing it for the first time it is easy but if you have to remove the old one it takes a little more time.  The product is great and it works great.  I recommend it to anyone who needs to replace their old ones or put on new ones.
positive,Best quality for something so simple would highly recommend this seller.
positive,👌🏾👌🏾👌🏾
negative,"The description states a box of 100. I only got 7. The package is clearly mark 7, not 100. Very disappointing. Poor seller. Poor quality control"
negative,This is not compatible with Ford 2012 F150 3.5L Turbocharged Ecoboost. The shape is the same but the (wings) are further apart than those on my truck.
negative,"The left hand example shows separation of the chamber from the metal.  Tire goes flat immediately, cannot recommende."
negative,"The bulb is a good bulb, pretty bright.  I did return them tho due to the fact it's a very broad beam, not a focused beam like I was hoping.  I'm not sure how to make an LED bulb focused like a halogen bulb.  For now I've reinstalled the halogens and will keep looking.<br /><br />Note: The company did reach out to me and offered me other brightness options but I'm not sure brightness is what I'm looking for cause I want to the fog lights for everyday use not just off road, and if I go brighter I think that will cause other issues.  So 5 stars for the company trying to take care of the customer.!"
positive,I'm not entirely sure if this works it made a stain on my matte I think you can find the same from Harley store for additional 5 bucks
positive,Ease of installation
negative,"I used this gasket for my 83 Jeep CJ7. The gasket seemed to be of decent quality and was easy to install. However, after the initial start up, it started to leak. It was almost immediate after the oil started to circulate.<br />I torqued the bolts to spec’s, but it still leaked. I ended up replacing it with a felpro gasket."
positive,This makes it much easier to pour out of a 5 gallon can into our mower and tractor.  Wish I had known about his instead of the flex spouts.
positive,Good quality license plate.
positive,Did what I need.
positive,"Searched online and in Auto stores the product is now installed working Great - Fuel gauge works Gas flows.<br />Our teen was So excited about the find it was requested as a Christmas gift, the main one.<br />Joined the extra Amazon club to get for Christmas, even though money is tight in our house."
positive,good
negative,They work for basic use. The biggest draw back is the gauges.  When you use a vacuum pump to draw the system down its not designed to tell you the negative draw.
positive,Tight fit... I'm sure that once I use them they will stretch appropriately. Nice high quality protection for the Car and the Jack stand.
negative,Could not use them as they failed to clip correctly to the rear view mirror.
negative,"I like the form factor of this tire inflator.  The design is small and unique, and it quickly tells me how much air, if any, my tires need.  Others have complained that the device should have a memory of how you set it previously, which I found a bit annoying but hardly a deal breaker.<br /><br />My biggest concern was how long the charged battery lasts and what to do if the inflator runs out of power before I finished.  For example, I needed 10-15 pounds of air for my four Ford Expedition tires.  The unit died after two tires, and I needed to recharge it to finish the other two, which it barely made.  Recharging took a couple of hours.  The problem is that I can't plug the device into my car's ""cigarette"" lighter to keep the unit going like my old inflator.  So, if you're stuck on the side of the road and need more inflation power, you're out of luck.  I would be afraid to carry this in my car as the only means of inflation."
positive,"This is a good filter assembly but it needs a third hole to mount on a HRX217. I needed the filter and new cover so I couldn't return just the assembly. I installed the old assembly, and that's okay.  Good quality original equipment."
positive,"Pretty easy to install, may take a few minutes to undo the old wipers and put on the new ones.  Be patient and don't force things and you will be good!"
positive,I liked everything about it.
negative,"It is small in diameter. It's 2022, cup holders in cars are large. I HATE that it doesn't fill the entire bottom. Would I order again or recommend? Absolutely not. Durable? Yes. They just need to make/order these in larger sizes and have trimming capabilities and then they'd make money. They also need to have different designs."
positive,Spray it on and forget it. Makes old tires look new.
negative,It's great the way it works and it doesn't leak (woohoo!) but it is incredibly difficult to actually empty this into either of my vehicles gas tank due to the angle and the short length of the spout. I literally have to shove and slosh up and down to get just under 1 gallon into a car. No way to get the rest into that tank no matter what I try.<br /><br />Would work top notch for filling other types of things that are straight down.<br /><br />Still prefer over those dastardly regulation idiotic newer gas cans
positive,These were needed to connect to off road vehicles to keep the batteries charged when stored.  I connect them to a small shed roof mounted solar panel and charge controller to keep them topped off.<br />These allow for a quick disconnect and reconnect along with fused protection just in case.<br />The quality of the connectors and wire is fine with no initial issues that I see.  They are a good value however I have not had them for long so I do not know about the longevity as of yet.
positive,This was a gift. It arrived promptly and was awesome!!!!
negative,They are hard to keep tight. The visual is small. Its like a bicycle mirror. We will by better brand later. I would have rather spent the 35.00 towards better quality mirrors..
positive,"Product arrived as described with a full charge (12.69volts). Chose standard, free shipping (didn't choose the &#34;no frustration&#34; packaging) and battery arrived in 3 days with no damage. Included two stainless steel nuts for threaded accessory posts. All posts were covered/protected with plastic protectors and battery is completely sealed.<br />Will update review with performance stats after I get it installed and running in my 40hp Tracker.<br />Update: Installed in Tracker and powers all equipment as well as starts the 40hp Merc with no problems. Battery is a little smaller than most battery floor tray's/mounts but secures fine with straps (not provided)."
positive,I trust Castrol and grabbed these because the price was decent.
positive,"Install was easy.  As others have mentioned you have to reuse the stock light lens cover, the fit and look appear to be on par with OEM."
positive,Installed and time will tell if the product holds up. It was bought for half the price listed currently. So not sure if it was new or refurbished. Price point was best at roughly $50. Its win for you the vendor and the consumer.
positive,Excelente product and service
positive,Very simple yet just what I needed
positive,"Easy to apply, especially using a curved application sponge available at auto parts stores. Blackens the tires, hides the brownish blotches from the sun, but does not yield a greasy high shine look.<br /><br />Lasts for weeks."
positive,practico y facil de usar
positive,Bright and nice
positive,I ordered 2 last year one quit and the other one quit working. So I got 2 more hope I have better luck this time!!!
positive,"This product has definitely healed up very good, even in the Arizona heat! I would say to make putting it on easier we used a heat gun, and definitely better with 2-3 people depending on how big of an area you are applying it to! Very satisfied with this product!"
positive,Great Product!
positive,Great glove 🧤
positive,The NSBU is relatively easy to install.  The hardest part is removing the connectors that are secured inside by what looks like non-hardening substance that helps protect the metal connectors from moisture which makes sense.  If you apply steady slow but forceful pulling it will slowly slip off.  Don't use a screw driver or equivalent to chisel it off.  The substance inside is very flexible and the banging effect will cause you to damage the connectors because the connector bounces out then back in.  That is why a strong steady and slow tug on the plug gets the job done believe it or not.  This action stretches the substance and does not allow it to flex back and will give way.  Just some advice.  The product provides some better water management features that the original was missing.  The non-critical trouble codes were eliminated once I replace this.
positive,the ride and handling is awesome.
positive,Just aren't as bright as standard Sylvania bulbs I just took out.
negative,"Worked great the first few months (~10 uses due to a bad tire). Soon the stem (piece that attached to tire valve), started leaking and so I duct taped around it. Now the product smokes if it runs more than 2-3 minutes and it sounds like it's stuttering inside, like something is lose. I would recommend something more heavy duty for folks who actually plan to use this long term.<br />UPDATE: This compressor completely stopped blowing any air; it just runs loud and gets hot. Terrible!!!"
positive,This is real protection from rain on a Motorcycle.  High Quality
positive,Great for auto tires. It gives a true reading.
positive,"I bought these for my 2007 Silverado Classic because I had a couple of bulbs that were out and the old bulbs did't want to come out. The layers in the lenses were also separating allowing water to enter and affecting the light output. The new units were very simple to install. I just had to unscrew the old light units and unplug them behind the bumper, plug in the new lights and screw the units back in place. For my truck I didn't have to do any grinding, etc. They were a perfect fit and they look just like new."
negative,Easy to install but slowly quit working. Handle still lifts but it doesn't disengage anymore. Wish it lasted longer.
negative,"Unfortunately this particular brand (or the seller) did not work for me. The on/off switch did not work, so I had to send it back. I bought a different brand from a different seller and that worked for me."
positive,A good deal. Nothing too fancy. But just what I needed. And a very fair price.
positive,these are easy to program using the web site on the card included...and if you do have a problem just contact using instant chat at the same web site.
positive,fit onto my fiat 500 filter cap just fine!
positive,Works great!
positive,Great carb. Hooked up in 45 minutes and ran fine right out of the box.<br />Would buy again.
negative,Fell right off and got lost.
positive,👍👍
positive,It fits and it’s an air filter
positive,Perfect fit in my 2011 335d
negative,Item leaked all the viscous fluid out.
negative,Valve spring compressor socks. Had to remanufactur it. Timing tool same thing.
positive,"Arrived fast, worked as should !"
positive,"This gun was awesome spraying gelcoat.  Just ran some Acetone through gun to clean, adjusted the spray and was amazing.  Will buy other guns from this company.  Very pleased."
positive,"I had changed batteries on one of our show cars, so now it wasn't ready to pass a smog check, I ordered this device to advise me when it was ready to do the check.  It took all the guess work out of this process, I had no problems with our 2003 Enzo Ferrari."
negative,"Covers up the bottom 1/3 of the license plate including my registration sticker, so it's completely useless to me."
positive,"Like a lot of people, I was tempted by the store brands labeled ""engineered for Honda"". Mostly for 2 reasons: cost and convenience. You can't just hop on down to the local auto parts store and get Genuine Honda fluids.<br /><br />We have owned 5 Hondas now (3 currently) and trust me when I say this: DO NOT even mess around with any other fluid brands (save for motor oil) for your Honda. Its simply not worth the trouble. You can get by with aftermarket parts (power steering pump, struts, etc. if funds are an issue) but this stuff is formulated for a reason. Even doing a fluid change (rather than a full flush - lots of debate there) you, and your Honda are better for it. Honda/Acura vehicles have been designed around the fluids, not the other way around.<br /><br />Even at most Honda dealerships, the price isn't much different. $5-7 per bottle, usually. Would definitely recommend purchasing from Amazon if time if you can wait a day or 2. Get these, and the proper o-rings, check for leaks and watch a couple of YouTube videos. Inside an hour, you'll notice a huge difference in your PS. My Ridgeline has 256K miles, CR-V, has about 205K and they drive like new."
positive,"Worked great, easy to install. Great value"
positive,Liked product.  Used for personal auto
positive,Great value and they look fantastic.
negative,"Very cheaply made,  disappointed after getting the rear light guards from elsewhere. Buyer beware."
negative,No instructions on assembly
positive,"I got two of these for 314... they sell for 400+ from renogy direct and I see them fluxuate price on amazon from 340-390 quite commonly.... I would buy them when they are at 348 or lower imo....  Great value at that price. just remember, you really only get about half of what it is as you shouldn't run these past half discharge for longevity purposes... My delivery guy hates me for these :P no joke..."
positive,"2017 STI - These are specific to Brembo 4-pot / 2-pot applications.  Fit is OEM quality.  Performance is above average.  You will notice an increase in initial bite, stopping power and resistance to fade.  Street use only.  They also leave less dust on your wheels between washes.  I have been using Hawk Pads for 15 yrs.  HPS and HPS Street 5.0.  These could be 5 star pads if they included a wear indicator.  Like other have stated, this is missing from these pads.  The mount for it is present on the corner of the back plate, but Hawk decided not to include it.  Anyone using these pads probably knows to monitor pad thickness and wear.  They install easily, are chamfered and have a split pad face like OEM pads.  As with any brake pad install, put grease on the backing plates.  If you don't your calipers piston(s) can vibrate against the back of the pad and cause squeaking under certain conditions. A small dab smeared is all it takes.  Be sure to re-use your OEM shims as well.  With grease properly applied, they are silent.  Hawk pads are a cost effective alternative to Subaru's OEM pads which are egregiously overpriced."
negative,all good on my s10 till 6 months later and it started leaking. Replaced with a bosch pump
positive,Great price for factory part
positive,Easy install. Can't beat the price.
positive,Made the small difference my go kart needed to climb our hills.
negative,Worked
positive,"Bought these when one of my Sylvania Silverstar Ultra headlights burnt out and I just couldn't bring myself to pay $30 for a SINGLE headlight. Well, actually, I did, but then I drove home one-headlighted, researched around online and bought these from Amazon. Hmm $25 for two bulbs versus $55-60? Uh, duh, SOLD! Returned the other and I'll never go back. Don't get me wrong, the Sylvania Silverstar Ultra headlights are great bulbs. But they only last about a year, and for the price I don't see enough of a difference to justify paying that much extra. If you like throwing your money away then by all means by the Silverstar Ultras, or just buy these and keep the extra $30 for some new shoes."
positive,"Used on an ocean yacht-so lots of salt and corrosion. Very happy, kinda surprised actually. Will buy again. LOVE the smell. Ordered with fine grit-the maroon and grey scotch pads and used these for the hard corrosion on sink faucets-removed corrosion, pits and left a beautiful shine."
negative,The paint started coming off after a couple days...
positive,Good
positive,perfect fit and really shed a lot of light on my license plate
positive,"Great fit, love the flag."
positive,To bring peace  to me in this crazy world and I love bells
positive,Worked fine.
positive,Just as described easy to install price just right
positive,I only needed one knob but ordered up the 3 knob kit.  Knob fit perfect and is doing the job.  Pleased with the quick delivery and how it performs.
positive,My Suburban stops.
negative,Cheap quality but looks nice
positive,Exactly what I was looking for. I didn't want to put another 2 holes in my car so glad I found perfect 👌 chrome cover. It's doesn't cover up any parts of license plate that does on others (you would be surprised)
positive,"It fit perfectly, and was attractive inasmuch as a screw on cover can be i.e. no scratches, good polish.  Assuming this is the part you are looking for, it'll do it's job just fine."
positive,Upgraded from my old ones that were falling apart and it does a great job and doesn’t miss a spot
positive,Great amber color. They work great for my side markers in my Honda Element.
positive,I likes it all.
positive,"I think coasters for the car is a great idea! It allows you to add some color to the interior of your car and it helps with sweaty cups! I drive a 2010 Toyota Sienna. Over the years, my cup holders have gotten a bit gross. I clean them out regularly, but they don't look pristine any more. The simple addition of these coasters detracts from all that! Plus, I'm not getting little puddles of liquid. This set has 4 coasters. There are 2 of each design. I kind of wish that all 4 were the same, but that's just a personal preference. My van has 4 cup holders in the console - 2 in the front part and 2 in the back part for the middle seats to access. A sedan probably only has 2 cup holders in the front, so it's not an issue. The coaster are well made and very similar to the thirsty stone coasters that I use in the house. They're a little smaller, sized well for the cup holders. There is a little notch that makes it easier to remove them if needed."
positive,Nice product; no surprises; works as advertised; glad I purchased this item; totally satisfied; Recommend.
positive,i like them i use them in my cup holder in 2007 ford explorer also it has certainb edges you can cut down to diffrent sizes to accomodate other size cup holders
positive,"Got a new Yamaha generator, DO have an older bigger one,<br />but wanted to start this off with real ""Yamaha Lube"". Will use<br />quality synthetic oil after break-in."
positive,"I have been using this for a while and when I forget to take the key out, my car tells me that there is no key present.  I also like that keeping my key in this keeps me from pushing a button that I didn't mean to push, while I'm out of my car, which I seem to do too easily otherwise."
negative,"Worked mostly, but then I was getting all my tires up to max pressure and the pump overheated the hose melted and it drained the air from my tire. So it actually flattened my tire instead of inflating it. It was easy to use and worked many times before. It just saw the end of its day. Lasted almost a year. Should only be used to inflate one tire probably. I do wonder if it could last inflating a single tire from a flat without breaking."
positive,I haven't used it yet!
positive,Very nice roller to lay down sound damping material or anything to that nature. Hard rubber but has a slight give to it. Hard wooden handle.
negative,This is not at all like what photo shows!  Does not sound like a cow either!  Buyer Beware!  I returned it.
positive,Unfortunately these did not fit my car. And they were very thin. But my Grandson is making use of them.
positive,simple and easy to install for very little money
positive,"Seems like a good price, no idea if it works but I feel like this is something I should do on a regular basis."
negative,"Originally got this for 2021 RAV4 but returned it. The front seats looks fine but the back seat was awkward looking. The quality was ok as I didn’t have too high of expectation for product that you install yourself. I didn’t like the buckle style but that may be personal. Wished it was completely slider style like how you loosen seatbelts. The red was okay, not too bright. I’ll recommended to just buy the front seats if anything. Back once’s were just pieces of cushion."
positive,"Perfect.<br />We needed to redo the bottom of our RV.<br />The size was perfect. Quality perfect.<br />We had a quote to have it redone, which was 448.00$<br />We did it ourselves for a fraction.<br />The company is outstanding. We have bought from them before. Great resource."
positive,I use this product on a 2018 Tesla Model 3 and it works<br />Brilliantly keeping the rain of my EV and protecting the<br />Clear Coat.
positive,Did the job... Just what I needed.
negative,Did not realize this was a barbie doll tool.
positive, 
positive,"One thing I do not enjoy is warm beer!  While camping out at Sturgis I would be the one to make a beer run going all the way to Walmart In Spearfish.<br />I’d get a bag of ice and a twelve pack or two and load up my saddlebags, but by the time I’d get back to camp the ice would be nearly gone and the beer barely cool.<br />This is going to be so much better this year with these insulated saddlebag liners!<br />I’ve already put then to use locally and they work like a charm!♥️"
positive,Love it
positive,"We always trust this brand. The fit is perfect, easy in and easy out. Cleans up easy also."
positive,Return wrong size
positive,As advertised. Fits 93 camaro z28 with room to spare
negative,"They are the only wire set that works for this engine, but are only good for about 4 years.  7mm wire that is way too thin for a 454 and not heat resistant."
positive,I purchased this for my RV. One word.....Perfect. It fits in the samller RV sink and takes up little counter space when using.
negative,"Very dazzling with light sparkles, but the jewels are no where near centered though it's not as noticeable once they are on the vehicle and viewed from a distance.  I took off 2 stars because of the poor workmanship of not centering the jewels at least closely.  In the display photo you will notice the jewel is very off center on the cap on the far right side, and this is how all of mine were.  I'll use them and go with it though."
positive,This door trim is better than I expected. It forms to the door edge and cuts / trims easily. I had enough extra edging to do the bottom of the lift gate. I highly recommend.
positive,So while most radios come with brackets and a bezel/face-plate you will be much happier getting this item and using it to affix to your vehicle. It made the installation of my Boss radio so much easier than if I had used the side plates that came with the radio and it ensures that the new radio will look factory installed as it gives you the perfect clearances to install.
positive,"For a genuine Acura Accessory, I expected this to be a bit heavier.  However, it very useful and the way that it is designed to fold up is very nice."
positive,"These lights are indeed very bright, easy to install and can clearly been seen when reversing the car.  No one can use the excuse that they did not see you reversing, especially at night.  I highly recommend."
